ce_id	parent_id	level	short_name	description	stage_id	sort_order	phase	node_class
B07f02e-Lobby	B07f02-Common areas	4	Lobby	Entry vestibule	Build	5	construction	program
B07f03-Mail	B07f-Shared / accessory program spaces	3	Mail	Mail facilities	Build	3	construction	program
B07f03a-Mailboxes and lockers	B07f03-Mail	4	Mailboxes and lockers	Package storage	Build	1	construction	program
B07f04-Trash	B07f-Shared / accessory program spaces	3	Trash	Waste handling	Build	4	construction	program
B07f04a-Compactor and chute	B07f04-Trash	4	Compactor and chute	Trash system	Build	1	construction	program
B07c09-Vertical transport	B07c-Services	3	Vertical transport	Stairs and elevators	Build	9	construction	system
B07c09b-Elevators	B07c09-Vertical transport	4	Elevators	Passenger elevators	Build	2	construction	system
B07c09a-Stairs	B07c09-Vertical transport	4	Stairs	Interior stairs	Build	1	construction	system
B07e01-Audio/video	B07e-Special systems & options	3	Audio/video	Entertainment systems	Build	1	construction	option
B07e02-Battery storage	B07e-Special systems & options	3	Battery storage	Energy storage	Build	2	construction	option
B07c06-Central vacuum	B07c-Services	3	Central vacuum	Built-in vacuum	Build	6	construction	system
B07c08-Generator	B07c-Services	3	Generator	Backup power	Build	8	construction	system
B07c01-Radon mitigation	B07c-Services	3	Radon mitigation	Radon venting system	Build	1	construction	system
B07e03-Security system	B07e-Special systems & options	3	Security system	Security monitoring	Build	3	construction	option
B07e04-Smart home	B07e-Special systems & options	3	Smart home	Home automation	Build	4	construction	option
B07e05-Solar PV	B07e-Special systems & options	3	Solar PV	Solar panels	Build	5	construction	option
B07c07-Water treatment	B07c-Services	3	Water treatment	Water conditioning	Build	7	construction	system
B07b01-Structure	B07b-Shell	3	Structure	Structural frame	Build	1	construction	system
B07b01a-Foundation	B07b01-Structure	4	Foundation	Below-grade structure	Build	1	construction	system
B07b01a01-Basement	B07b01a-Foundation	5	Basement	Full basement	Build	1	construction	system
B07b01a01a-Drainage	B07b01a01-Basement	6	Drainage	Foundation drainage	Build	1	construction	system
B07b01a01b-Egress	B07b01a01-Basement	6	Egress	Emergency exit	Build	2	construction	system
B07b01a01c-Excavation	B07b01a01-Basement	6	Excavation	Basement dig	Build	3	construction	system
B07b01a01d-Floor slab	B07b01a01-Basement	6	Floor slab	Basement floor	Build	4	construction	system
B07b01a01e-Walls	B07b01a01-Basement	6	Walls	Basement walls	Build	5	construction	system
B07b01a01f-Waterproofing	B07b01a01-Basement	6	Waterproofing	Moisture barrier	Build	6	construction	system
B07b01a02-Crawlspace	B07b01a-Foundation	5	Crawlspace	Ventilated crawl	Build	2	construction	system
B07b01a03-Deep	B07b01a-Foundation	5	Deep	Deep foundations	Build	3	construction	system
B07b01a03a-Drilled shafts	B07b01a03-Deep	6	Drilled shafts	Caissons	Build	1	construction	system
B07b01a03b-Driven piles	B07b01a03-Deep	6	Driven piles	Impact piles	Build	2	construction	system
B07b01a03c-Helical piles	B07b01a03-Deep	6	Helical piles	Screw piles	Build	3	construction	system
B07b01a04-Shallow	B07b01a-Foundation	5	Shallow	Spread foundations	Build	4	construction	system
B07b01a04a-Continuous footings	B07b01a04-Shallow	6	Continuous footings	Strip foundations	Build	1	construction	system
B07b01a04b-Grade beams	B07b01a04-Shallow	6	Grade beams	Foundation beams	Build	2	construction	system
B07b01a04c-Spread footings	B07b01a04-Shallow	6	Spread footings	Pad foundations	Build	3	construction	system
B07b01a04d-Stem walls	B07b01a04-Shallow	6	Stem walls	Foundation walls	Build	4	construction	system
B07b01a05-Slab on grade	B07b01a-Foundation	5	Slab on grade	Ground-level slab	Build	5	construction	system
B07b01b-Framing	B07b01-Structure	4	Framing	Wood/steel frame	Build	2	construction	system
B07b01b03-Beams and posts	B07b01b-Framing	5	Beams and posts	Support members	Build	3	construction	system
B07b01b01-Floor	B07b01b-Framing	5	Floor	Floor framing	Build	1	construction	system
B07b01b01a-Joists	B07b01b01-Floor	6	Joists	Floor joists	Build	1	construction	system
B07b01b01b-Subfloor	B07b01b01-Floor	6	Subfloor	Floor sheathing	Build	2	construction	system
B07b01b06-Hardware	B07b01b-Framing	5	Hardware	Connectors and fasteners	Build	6	construction	system
B07b01b04-Roof	B07b01b-Framing	5	Roof	Roof framing	Build	4	construction	system
B07b01b04a-Fascia and soffit framing	B07b01b04-Roof	6	Fascia and soffit framing	Eave framing	Build	1	construction	system
B07b01b04b-Rafters	B07b01b04-Roof	6	Rafters	Stick framing	Build	2	construction	system
B07b01b04c-Trusses	B07b01b04-Roof	6	Trusses	Engineered trusses	Build	3	construction	system
B07b01b05-Sheathing	B07b01b-Framing	5	Sheathing	Panel sheathing	Build	5	construction	system
B07b01b05a-Roof	B07b01b05-Sheathing	6	Roof	Roof decking	Build	1	construction	system
B07b01b05b-Wall	B07b01b05-Sheathing	6	Wall	Wall sheathing	Build	2	construction	system
B07b01b07-Steel framing	B07b01b-Framing	5	Steel framing	Light gauge steel	Build	7	construction	system
B07b01b02-Walls	B07b01b-Framing	5	Walls	Wall framing	Build	2	construction	system
B07b01b02a-Exterior	B07b01b02-Walls	6	Exterior	Exterior walls	Build	1	construction	system
B07b01b02b-Headers and beams	B07b01b02-Walls	6	Headers and beams	Load transfer	Build	2	construction	system
B07b01b02c-Interior	B07b01b02-Walls	6	Interior	Interior partitions	Build	3	construction	system
B08-TempIndirect		1	TempIndirect	Temporary, indirect, and jobsite costs	Build	8	construction	system
B09-RiskIns		1	RiskIns	Construction insurance, bonding, and third-party risk	Build	9	crosscutting	overhead
B10-Finance		1	Finance	Development financing & capital costs	Build	10	crosscutting	finance
B11-Overhead		1	Overhead	Developer overhead, sales, and marketing	Build	11	crosscutting	overhead
B12-Contingency		1	Contingency	Risk, uncertainty, and legal contingency	Build	12	crosscutting	overhead
B13-Return		1	Return	Required developer return	Build	13	crosscutting	finance
B03a-Building permits	B03-Permits	2	Building permits	Fees to obtain construction permits from the building department	Build	1	entitlement	regulatory
B03a01-Residential building permit	B03a-Building permits	3	Residential building permit	Primary building permit fee based on project valuation or square footage	Build	1	entitlement	regulatory
B03a02-Mechanical permit	B03a-Building permits	3	Mechanical permit	Permit for HVAC system installation	Build	2	entitlement	regulatory
B03a03-Electrical permit	B03a-Building permits	3	Electrical permit	Permit for electrical system installation	Build	3	entitlement	regulatory
B03a04-Plumbing permit	B03a-Building permits	3	Plumbing permit	Permit for plumbing system installation	Build	4	entitlement	regulatory
B03b-Plan review fees	B03-Permits	2	Plan review fees	Fees charged by jurisdiction to review construction documents for code compliance	Build	2	entitlement	regulatory
B03b01-Structural review	B03b-Plan review fees	3	Structural review	Review of structural engineering drawings and calculations	Build	1	entitlement	regulatory
B03b02-Fire and life safety review	B03b-Plan review fees	3	Fire and life safety review	Review of fire protection and egress plans	Build	2	entitlement	regulatory
B03b03-Energy code review	B03b-Plan review fees	3	Energy code review	Review of energy compliance documentation	Build	3	entitlement	regulatory
B03b04-Expedited review surcharge	B03b-Plan review fees	3	Expedited review surcharge	Premium fee for accelerated plan review processing	Build	4	entitlement	regulatory
B03c-Impact and development fees	B03-Permits	2	Impact and development fees	One-time fees assessed to offset project impacts on public infrastructure and services	Build	3	entitlement	regulatory
B03c01-Transportation impact	B03c-Impact and development fees	3	Transportation impact	Fee for road and transit infrastructure impacts	Build	1	entitlement	regulatory
B03c02-School impact	B03c-Impact and development fees	3	School impact	Fee for school capacity impacts	Build	2	entitlement	regulatory
B03c03-Park and recreation	B03c-Impact and development fees	3	Park and recreation	Fee for park land and recreation facility impacts	Build	3	entitlement	regulatory
B03c04-Fire and police	B03c-Impact and development fees	3	Fire and police	Fee for public safety facility impacts	Build	4	entitlement	regulatory
B03c05-Stormwater	B03c-Impact and development fees	3	Stormwater	Fee for stormwater management system impacts	Build	5	entitlement	regulatory
B03c06-General government	B03c-Impact and development fees	3	General government	General administrative and capital recovery fee	Build	6	entitlement	regulatory
B03d-Special permits	B03-Permits	2	Special permits	Permits for specific activities beyond standard building	Build	4	entitlement	regulatory
B03d01-Demolition permit	B03d-Special permits	3	Demolition permit	Permit for structure demolition or removal	Build	1	entitlement	regulatory
B03d02-Grading permit	B03d-Special permits	3	Grading permit	Permit for earthwork and grading activities	Build	2	entitlement	regulatory
B03d03-ROW permit	B03d-Special permits	3	ROW permit	Permit for work within public right-of-way	Build	3	entitlement	regulatory
B03d04-Floodplain permit	B03d-Special permits	3	Floodplain permit	Permit for construction within mapped floodplain	Build	4	entitlement	regulatory
B03e-Inspection fees	B03-Permits	2	Inspection fees	Fees for required code inspections during construction	Build	5	entitlement	regulatory
B03e01-Foundation inspection	B03e-Inspection fees	3	Foundation inspection	Inspection of foundation before concrete placement	Build	1	entitlement	regulatory
B03e02-Framing inspection	B03e-Inspection fees	3	Framing inspection	Inspection of structural framing before close-in	Build	2	entitlement	regulatory
B03e03-Final inspection	B03e-Inspection fees	3	Final inspection	Final code compliance inspection for certificate of occupancy	Build	3	entitlement	regulatory
B03e04-Re-inspection fee	B03e-Inspection fees	3	Re-inspection fee	Fee charged when a failed inspection requires re-inspection	Build	4	entitlement	regulatory
B04a-Water connection	B04-Utilities	2	Water connection	Fees to connect to municipal or district water system	Build	1	entitlement	regulatory
B04a01-Water tap fee	B04a-Water connection	3	Water tap fee	One-time fee for physical water main tap and meter installation	Build	1	entitlement	regulatory
B04a02-Water plant investment fee	B04a-Water connection	3	Water plant investment fee	Capacity charge for water treatment and storage infrastructure	Build	2	entitlement	regulatory
B04a03-Water meter	B04a-Water connection	3	Water meter	Cost of water meter and associated hardware	Build	3	entitlement	regulatory
B04b-Sewer connection	B04-Utilities	2	Sewer connection	Fees to connect to municipal or district sanitary sewer system	Build	2	entitlement	regulatory
B04b01-Sewer tap fee	B04b-Sewer connection	3	Sewer tap fee	One-time fee for physical sewer main tap	Build	1	entitlement	regulatory
B04b02-Sewer plant investment fee	B04b-Sewer connection	3	Sewer plant investment fee	Capacity charge for wastewater treatment infrastructure	Build	2	entitlement	regulatory
B04c-Electric connection	B04-Utilities	2	Electric connection	Fees to connect to electric utility service	Build	3	entitlement	regulatory
B04c01-Electric service extension	B04c-Electric connection	3	Electric service extension	Cost for utility to extend service to property line	Build	1	entitlement	regulatory
B04c02-Transformer and meter	B04c-Electric connection	3	Transformer and meter	Transformer installation and meter setup charges	Build	2	entitlement	regulatory
B04d-Gas connection	B04-Utilities	2	Gas connection	Fees to connect to natural gas utility service	Build	4	entitlement	regulatory
B04d01-Gas service extension	B04d-Gas connection	3	Gas service extension	Cost for utility to extend gas main to property	Build	1	entitlement	regulatory
B04d02-Gas meter	B04d-Gas connection	3	Gas meter	Gas meter installation and setup fee	Build	2	entitlement	regulatory
B04e-Storm drainage fees	B04-Utilities	2	Storm drainage fees	Fees for connection to public storm drainage system	Build	5	entitlement	regulatory
B04e01-Storm sewer tap	B04e-Storm drainage fees	3	Storm sewer tap	Physical connection to storm sewer main	Build	1	entitlement	regulatory
B04e02-Drainage basin fee	B04e-Storm drainage fees	3	Drainage basin fee	Proportional fee for regional drainage improvements	Build	2	entitlement	regulatory
B04f-Telecom and fiber	B04-Utilities	2	Telecom and fiber	Fees to connect to telecommunications and broadband infrastructure	Build	6	entitlement	regulatory
B04f01-Conduit and connection	B04f-Telecom and fiber	3	Conduit and connection	Conduit installation and service connection fee	Build	1	entitlement	regulatory
B08a-Temporary utilities	B08-TempIndirect	2	Temporary utilities	Temporary power, water, and sanitation during construction	Build	1	construction	system
B08a01-Temporary power	B08a-Temporary utilities	3	Temporary power	Temporary electrical service and distribution during construction	Build	1	construction	system
B08a02-Temporary water	B08a-Temporary utilities	3	Temporary water	Temporary water service for construction use	Build	2	construction	system
B08a03-Temporary heat	B08a-Temporary utilities	3	Temporary heat	Temporary heating during cold-weather construction	Build	3	construction	system
B08b-Site security and fencing	B08-TempIndirect	2	Site security and fencing	Construction site perimeter control and security	Build	2	construction	system
B08b01-Construction fencing	B08b-Site security and fencing	3	Construction fencing	Perimeter fencing around active construction site	Build	1	construction	system
B08b02-Security service	B08b-Site security and fencing	3	Security service	Guard service or monitoring for site security	Build	2	construction	system
B08b03-Signage and safety barriers	B08b-Site security and fencing	3	Signage and safety barriers	Required safety signage and traffic control barriers	Build	3	construction	system
B08c-Waste and dumpsters	B08-TempIndirect	2	Waste and dumpsters	Construction waste management and removal	Build	3	construction	system
B08c01-Dumpster and hauling	B08c-Waste and dumpsters	3	Dumpster and hauling	Roll-off dumpsters and waste hauling service	Build	1	construction	system
B08c02-Recycling and diversion	B08c-Waste and dumpsters	3	Recycling and diversion	Construction waste sorting and recycling	Build	2	construction	system
B08d-Portable facilities	B08-TempIndirect	2	Portable facilities	Temporary sanitation and worker facilities	Build	4	construction	system
B08d01-Portable toilets	B08d-Portable facilities	3	Portable toilets	Temporary sanitation units for construction workers	Build	1	construction	system
B08d02-Construction trailer	B08d-Portable facilities	3	Construction trailer	Temporary office or storage trailer on site	Build	2	construction	system
B08e-Weather protection	B08-TempIndirect	2	Weather protection	Temporary protection of work and materials from weather	Build	5	construction	system
B08e01-Tarps and enclosures	B08e-Weather protection	3	Tarps and enclosures	Temporary covers for open work areas and material storage	Build	1	construction	system
B08e02-Winter conditions	B08e-Weather protection	3	Winter conditions	Cold-weather concrete protection and enclosure costs	Build	2	construction	system
B08f-Jobsite supervision	B08-TempIndirect	2	Jobsite supervision	On-site construction management and superintendent costs	Build	6	construction	system
B08f01-Superintendent	B08f-Jobsite supervision	3	Superintendent	Full-time on-site construction superintendent salary and burden	Build	1	construction	system
B08f02-Assistant superintendent	B08f-Jobsite supervision	3	Assistant superintendent	Additional site supervision for larger projects	Build	2	construction	system
B08g-Temporary roads and access	B08-TempIndirect	2	Temporary roads and access	Temporary access roads and staging areas during construction	Build	7	construction	system
B08g01-Construction entrance	B08g-Temporary roads and access	3	Construction entrance	Stabilized construction entrance and tracking pad	Build	1	construction	system
B08g02-Temporary roads	B08g-Temporary roads and access	3	Temporary roads	Gravel or stabilized temporary roads for equipment access	Build	2	construction	system
B08h-Cleanup	B08-TempIndirect	2	Cleanup	Construction cleanup during and after construction	Build	8	construction	system
B08h01-Progress cleaning	B08h-Cleanup	3	Progress cleaning	Periodic cleanup during active construction phases	Build	1	construction	system
B08h02-Final cleaning	B08h-Cleanup	3	Final cleaning	Comprehensive cleaning before occupancy or handover	Build	2	construction	system
B09a-Builders risk insurance	B09-RiskIns	2	Builders risk insurance	Property insurance covering the structure during construction	Build	1	crosscutting	overhead
B09a01-Course of construction	B09a-Builders risk insurance	3	Course of construction	All-risk property coverage from groundbreaking to completion	Build	1	crosscutting	overhead
B09a02-Flood and earthquake rider	B09a-Builders risk insurance	3	Flood and earthquake rider	Supplemental coverage for flood or seismic events during construction	Build	2	crosscutting	overhead
B09b-General liability	B09-RiskIns	2	General liability	Commercial general liability insurance for the construction project	Build	2	crosscutting	overhead
B09b01-CGL policy	B09b-General liability	3	CGL policy	Commercial general liability policy premium for the project	Build	1	crosscutting	overhead
B09b02-Umbrella and excess	B09b-General liability	3	Umbrella and excess	Excess liability coverage above primary CGL limits	Build	2	crosscutting	overhead
B09c-Workers compensation	B09-RiskIns	2	Workers compensation	Statutory workers compensation insurance for construction labor	Build	3	crosscutting	overhead
B09c01-Workers comp premium	B09c-Workers compensation	3	Workers comp premium	Premium based on payroll and trade classification rates	Build	1	crosscutting	overhead
B09d-Bonds	B09-RiskIns	2	Bonds	Performance and payment bonds guaranteeing completion and subcontractor payment	Build	4	crosscutting	overhead
B09d01-Performance bond	B09d-Bonds	3	Performance bond	Surety bond guaranteeing project completion per contract terms	Build	1	crosscutting	overhead
B09d02-Payment bond	B09d-Bonds	3	Payment bond	Surety bond guaranteeing payment to subcontractors and suppliers	Build	2	crosscutting	overhead
B09d03-Subdivision bond	B09d-Bonds	3	Subdivision bond	Bond guaranteeing completion of public improvements	Build	3	crosscutting	overhead
B09e-Warranty reserves	B09-RiskIns	2	Warranty reserves	Reserves set aside for post-completion warranty repairs	Build	5	crosscutting	overhead
B09e01-Structural warranty	B09e-Warranty reserves	3	Structural warranty	Reserve for structural defect claims during warranty period	Build	1	crosscutting	overhead
B09e02-Systems warranty	B09e-Warranty reserves	3	Systems warranty	Reserve for MEP and systems warranty claims	Build	2	crosscutting	overhead
B09e03-Workmanship warranty	B09e-Warranty reserves	3	Workmanship warranty	Reserve for finish and workmanship warranty repairs	Build	3	crosscutting	overhead
B09f-Professional liability	B09-RiskIns	2	Professional liability	Errors and omissions insurance for design professionals	Build	6	crosscutting	overhead
B09f01-Design E&O	B09f-Professional liability	3	Design E&O	Errors and omissions policy covering architectural and engineering design liability	Build	1	crosscutting	overhead
B10a-Construction loan origination	B10-Finance	2	Construction loan origination	Fees to establish the construction loan facility	Build	1	crosscutting	finance
B10a01-Origination fee	B10a-Construction loan origination	3	Origination fee	Lender fee to originate the construction loan (typically 0.5-1.5% of loan amount)	Build	1	crosscutting	finance
B10a02-Commitment fee	B10a-Construction loan origination	3	Commitment fee	Fee on undrawn loan balance during construction period	Build	2	crosscutting	finance
B10a03-Lender legal	B10a-Construction loan origination	3	Lender legal	Lender attorney fees for loan document preparation	Build	3	crosscutting	finance
B10b-Construction interest	B10-Finance	2	Construction interest	Interest accrued on construction loan draws during building period	Build	2	crosscutting	finance
B10b01-Interest on draws	B10b-Construction interest	3	Interest on draws	Interest on progressive draws as construction costs are funded	Build	1	crosscutting	finance
B10b02-Interest reserve	B10b-Construction interest	3	Interest reserve	Capitalized interest held in reserve to cover payments during construction	Build	2	crosscutting	finance
B10c-Carry costs	B10-Finance	2	Carry costs	Ongoing holding costs during the development period	Build	3	crosscutting	finance
B10c01-Property tax during construction	B10c-Carry costs	3	Property tax during construction	Property taxes accruing during the development period	Build	1	crosscutting	finance
B10c02-Insurance during construction	B10c-Carry costs	3	Insurance during construction	Property insurance premiums during development period	Build	2	crosscutting	finance
B10c03-Land carry cost	B10c-Carry costs	3	Land carry cost	Cost of holding land from acquisition through construction start	Build	3	crosscutting	finance
B10d-Bridge and mezzanine financing	B10-Finance	2	Bridge and mezzanine financing	Subordinate or interim financing layers in the capital stack	Build	4	crosscutting	finance
B10d01-Bridge loan	B10d-Bridge and mezzanine financing	3	Bridge loan	Short-term loan bridging construction to permanent financing	Build	1	crosscutting	finance
B10d02-Mezzanine debt	B10d-Bridge and mezzanine financing	3	Mezzanine debt	Subordinate debt between senior construction loan and equity	Build	2	crosscutting	finance
B10e-Equity placement	B10-Finance	2	Equity placement	Costs of raising and structuring project equity	Build	5	crosscutting	finance
B10e01-Syndication fees	B10e-Equity placement	3	Syndication fees	Fees for arranging equity investors or syndication partners	Build	1	crosscutting	finance
B10e02-Legal structuring	B10e-Equity placement	3	Legal structuring	Legal costs for entity formation and operating agreements	Build	2	crosscutting	finance
B10f-Title and escrow	B10-Finance	2	Title and escrow	Title insurance and escrow services during development	Build	6	crosscutting	finance
B10f01-Title insurance	B10f-Title and escrow	3	Title insurance	Lender and owner title insurance policies	Build	1	crosscutting	finance
B10f02-Escrow and closing	B10f-Title and escrow	3	Escrow and closing	Escrow fees and closing costs for construction financing	Build	2	crosscutting	finance
B11a-Developer personnel	B11-Overhead	2	Developer personnel	Developer staff salaries, benefits, and burden allocated to the project	Build	1	crosscutting	overhead
B11a01-Developer salary allocation	B11a-Developer personnel	3	Developer salary allocation	Portion of developer principal salary allocated to this project	Build	1	crosscutting	overhead
B11a02-Development staff	B11a-Developer personnel	3	Development staff	Project manager, analyst, and support staff time allocated to the project	Build	2	crosscutting	overhead
B11b-Office and administration	B11-Overhead	2	Office and administration	Overhead costs for office operations supporting the project	Build	2	crosscutting	overhead
B11b01-Office rent and utilities	B11b-Office and administration	3	Office rent and utilities	Pro-rata share of developer office space costs	Build	1	crosscutting	overhead
B11b02-Technology and software	B11b-Office and administration	3	Technology and software	Project management software, estimating tools, and IT costs	Build	2	crosscutting	overhead
B11b03-Insurance and licenses	B11b-Office and administration	3	Insurance and licenses	Developer business insurance and professional license fees	Build	3	crosscutting	overhead
B11c-Marketing and advertising	B11-Overhead	2	Marketing and advertising	Pre-sale and sales-phase marketing costs	Build	3	crosscutting	overhead
B11c01-Branding and collateral	B11c-Marketing and advertising	3	Branding and collateral	Project branding, brochures, signage, and print materials	Build	1	crosscutting	overhead
B11c02-Digital marketing	B11c-Marketing and advertising	3	Digital marketing	Online advertising, website, social media, and SEO	Build	2	crosscutting	overhead
B11c03-Model unit	B11c-Marketing and advertising	3	Model unit	Cost to furnish and maintain a model or show unit	Build	3	crosscutting	overhead
B11d-Sales staff and commissions	B11-Overhead	2	Sales staff and commissions	Sales team costs and brokerage commissions	Build	4	crosscutting	overhead
B11d01-In-house sales staff	B11d-Sales staff and commissions	3	In-house sales staff	Salary and benefits for dedicated sales staff	Build	1	crosscutting	overhead
B11d02-Listing agent commission	B11d-Sales staff and commissions	3	Listing agent commission	Commission paid to listing broker or agent	Build	2	crosscutting	overhead
B11d03-Buyer agent commission	B11d-Sales staff and commissions	3	Buyer agent commission	Commission offered to cooperating buyer agent	Build	3	crosscutting	overhead
B11e-Legal and accounting	B11-Overhead	2	Legal and accounting	Ongoing legal and accounting services during development	Build	5	crosscutting	overhead
B11e01-Corporate legal	B11e-Legal and accounting	3	Corporate legal	General corporate legal services for the developer entity	Build	1	crosscutting	overhead
B11e02-Accounting and audit	B11e-Legal and accounting	3	Accounting and audit	Project accounting, tax preparation, and audit costs	Build	2	crosscutting	overhead
B12a-Design contingency	B12-Contingency	2	Design contingency	Budget reserve for incomplete or evolving design scope	Build	1	crosscutting	overhead
B12a01-Schematic design contingency	B12a-Design contingency	3	Schematic design contingency	Higher contingency for early-stage design (typically 10-15%)	Build	1	crosscutting	overhead
B12a02-Construction document contingency	B12a-Design contingency	3	Construction document contingency	Lower contingency for advanced design (typically 3-5%)	Build	2	crosscutting	overhead
B12b-Construction contingency	B12-Contingency	2	Construction contingency	Budget reserve for unforeseen conditions and changes during construction	Build	2	crosscutting	overhead
B12b01-Unforeseen conditions	B12b-Construction contingency	3	Unforeseen conditions	Reserve for unknown subsurface or concealed conditions	Build	1	crosscutting	overhead
B12b02-Change orders	B12b-Construction contingency	3	Change orders	Reserve for owner-directed and field-directed changes	Build	2	crosscutting	overhead
B12b03-Material price escalation	B12b-Construction contingency	3	Material price escalation	Reserve for material cost increases between bidding and procurement	Build	3	crosscutting	overhead
B12c-Regulatory contingency	B12-Contingency	2	Regulatory contingency	Reserve for unexpected code changes or regulatory requirements	Build	3	crosscutting	overhead
B12c01-Code change reserve	B12c-Regulatory contingency	3	Code change reserve	Reserve for mid-project building code or zoning amendments	Build	1	crosscutting	overhead
B12c02-Condition of approval	B12c-Regulatory contingency	3	Condition of approval	Reserve for unanticipated conditions imposed during approval process	Build	2	crosscutting	overhead
B12d-Allowances	B12-Contingency	2	Allowances	Placeholder budgets for selections not yet made	Build	4	crosscutting	overhead
B12d01-Finish allowances	B12d-Allowances	3	Finish allowances	Allowances for owner-selected finishes (countertops, fixtures, flooring)	Build	1	crosscutting	overhead
B12d02-Fixture allowances	B12d-Allowances	3	Fixture allowances	Allowances for lighting, plumbing fixture, and appliance selections	Build	2	crosscutting	overhead
B12e-Legal reserve	B12-Contingency	2	Legal reserve	Reserve for potential legal disputes or claims	Build	5	crosscutting	overhead
B12e01-Construction dispute reserve	B12e-Legal reserve	3	Construction dispute reserve	Reserve for contractor or subcontractor dispute resolution	Build	1	crosscutting	overhead
B12e02-Warranty claims reserve	B12e-Legal reserve	3	Warranty claims reserve	Reserve for post-completion warranty litigation or settlement	Build	2	crosscutting	overhead
B13a-Equity return	B13-Return	2	Equity return	Required return on developer equity investment	Build	1	crosscutting	finance
B13a01-Return on equity	B13a-Equity return	3	Return on equity	Target percentage return on cash equity invested in the project	Build	1	crosscutting	finance
B13a02-Preferred return	B13a-Equity return	3	Preferred return	Priority return to equity investors before profit split	Build	2	crosscutting	finance
B13b-Developer profit	B13-Return	2	Developer profit	Developer fee and profit margin on total development cost	Build	2	crosscutting	finance
B13b01-Developer fee	B13b-Developer profit	3	Developer fee	Fixed or percentage fee for developer services (typically 3-5% of total cost)	Build	1	crosscutting	finance
B13b02-Profit margin	B13b-Developer profit	3	Profit margin	Net profit above developer fee as percentage of total development cost	Build	2	crosscutting	finance
B13c-Land value appreciation	B13-Return	2	Land value appreciation	Gain realized from land value increase during entitlement and development	Build	3	crosscutting	finance
B13c01-Entitlement value uplift	B13c-Land value appreciation	3	Entitlement value uplift	Land value increase attributable to securing entitlements and approvals	Build	1	crosscutting	finance
F01-Principal		1	Principal	Mortgage principal payment (monthly)	Finance	14	occupant_finance	finance
F01a-Mortgage	F01-Principal	2	Mortgage	Loan payments	Finance	1	occupant_finance	finance
F01a01-Monthly payment	F01a-Mortgage	3	Monthly payment	Principal and interest	Finance	1	occupant_finance	finance
F02-Interest		1	Interest	Mortgage interest payment (monthly)	Finance	15	occupant_finance	finance
F02a-Mortgage	F02-Interest	2	Mortgage	Interest portion	Finance	1	occupant_finance	finance
F02a01-Monthly interest	F02a-Mortgage	3	Monthly interest	Interest payment	Finance	1	occupant_finance	finance
F03-PMI		1	PMI	Private mortgage insurance (PMI) (monthly)	Finance	16	occupant_finance	finance
F03a-Insurance	F03-PMI	2	Insurance	Mortgage insurance	Finance	1	occupant_finance	finance
F03a01-Monthly premium	F03a-Insurance	3	Monthly premium	PMI payment	Finance	1	occupant_finance	finance
F04-ClosingCosts		1	ClosingCosts	Buyer closing costs (one-time)	Finance	17	occupant_finance	finance
F04a-Lender fees	F04-ClosingCosts	2	Lender fees	Loan origination	Finance	1	occupant_finance	finance
F04a01-Origination and points	F04a-Lender fees	3	Origination and points	Lender charges	Finance	1	occupant_finance	finance
F04b-Prepaid	F04-ClosingCosts	2	Prepaid	Closing escrows	Finance	2	occupant_finance	finance
F04b01-Taxes and insurance escrow	F04b-Prepaid	3	Taxes and insurance escrow	Prepaid items	Finance	1	occupant_finance	finance
F04c-Third party	F04-ClosingCosts	2	Third party	Settlement services	Finance	3	occupant_finance	finance
F04c01-Appraisal and inspection	F04c-Third party	3	Appraisal and inspection	Due diligence fees	Finance	1	occupant_finance	finance
O01-Utilities		1	Utilities	Operating utilities	Operate	18	operations	system
O01a-Electric	O01-Utilities	2	Electric	Electric service	Operate	1	operations	system
O01a01-Monthly	O01a-Electric	3	Monthly	Monthly electric	Operate	1	operations	system
O01b-Gas	O01-Utilities	2	Gas	Gas service	Operate	2	operations	system
O01b01-Monthly	O01b-Gas	3	Monthly	Monthly gas	Operate	1	operations	system
O01c-Water	O01-Utilities	2	Water	Water service	Operate	3	operations	system
O01c01-Monthly	O01c-Water	3	Monthly	Monthly water	Operate	1	operations	system
O01d-Sewer	O01-Utilities	2	Sewer	Sewer service	Operate	4	operations	system
O01d01-Monthly	O01d-Sewer	3	Monthly	Monthly sewer	Operate	1	operations	system
O01e-Trash	O01-Utilities	2	Trash	Waste collection	Operate	5	operations	system
O01e01-Monthly	O01e-Trash	3	Monthly	Monthly trash	Operate	1	operations	system
O01f-Internet	O01-Utilities	2	Internet	Internet service	Operate	6	operations	system
O01f01-Monthly	O01f-Internet	3	Monthly	Monthly internet	Operate	1	operations	system
O02-Maint		1	Maint	Maintenance, repairs, and capital reserves	Operate	19	operations	system
O02a-Envelope	O02-Maint	2	Envelope	Exterior maintenance	Operate	1	operations	system
O02a01-Roof	O02a-Envelope	3	Roof	Roof maintenance	Operate	1	operations	system
O02a02-Siding	O02a-Envelope	3	Siding	Siding maintenance	Operate	2	operations	system
O02a03-Windows and doors	O02a-Envelope	3	Windows and doors	Opening maintenance	Operate	3	operations	system
O02a04-Gutters	O02a-Envelope	3	Gutters	Gutter maintenance	Operate	4	operations	system
O02b-MEP	O02-Maint	2	MEP	Systems maintenance	Operate	2	operations	system
O02b01-HVAC	O02b-MEP	3	HVAC	HVAC maintenance	Operate	1	operations	system
